0 0 0 0
0.01 9.93331e-06 9.99933e-13 -1.29827e-06
0.02 4.99351e-05 3.00925e-11 3.11636e-07
0.03 0.000140481 3.27161e-10 8.49921e-06
0.04 0.00029882 1.48736e-09 2.57187e-05
0.05 0.00055076 4.41938e-09 5.27561e-05
0.06 0.000909172 1.00988e-08 8.85853e-05
0.07 0.00139656 1.91297e-08 0.000130561
0.08 0.00204085 3.12584e-08 0.000174909
0.09 0.00284079 4.55239e-08 0.000217431
0.1 0.00384339 5.88348e-08 0.000254286
0.11 0.00504937 6.77657e-08 0.000282705
0.12 0.00647241 6.86842e-08 0.000301512
0.13 0.00816965 5.47887e-08 0.000311348
0.14 0.0101011 2.65726e-08 0.000314563
0.15 0.0123395 -2.31148e-08 0.000314792
0.16 0.0148892 -9.54201e-08 0.000316292
0.17 0.0177251 -1.85051e-07 0.000323172
0.18 0.0209607 -3.10589e-07 0.000338643
0.19 0.0245089 -4.56645e-07 0.000364443
0.2 0.0284496 -6.4652e-07 0.000400533
0.21 0.0328283 -9.0173e-07 0.000445127
0.22 0.0375431 -1.20952e-06 0.000495043
0.23 0.0427798 -1.65409e-06 0.000546317
0.24 0.0484216 -2.21869e-06 0.000594963
0.25 0.05451 -2.95241e-06 0.000637743
0.26 0.0611821 -3.95075e-06 0.000672797
0.27 0.0682312 -5.13709e-06 0.000700022
0.28 0.0759024 -6.67822e-06 0.000721129
0.29 0.0840993 -8.54356e-06 0.000739369
0.3 0.0927612 -1.06966e-05 0.000758969
0.31 0.10216 -1.33876e-05 0.000784402
0.32 0.111986 -1.6362e-05 0.000819602
0.33 0.122493 -1.9882e-05 0.000867286
0.34 0.133681 -2.40238e-05 0.000928509
0.35 0.145325 -2.85289e-05 0.00100252
0.36 0.157844 -3.40538e-05 0.00108696
0.37 0.170873 -4.0149e-05 0.00117835
0.38 0.184586 -4.71636e-05 0.00127284
0.39 0.199165 -5.55563e-05 0.00136694
0.4 0.21418 -6.45913e-05 0.00145825
0.41 0.230169 -7.54807e-05 0.00154602
0.42 0.246801 -8.75862e-05 0.00163131
0.43 0.264062 -0.000100974 0.00171694
0.44 0.282385 -0.000116785 0.00180698
0.45 0.301146 -0.000133448 0.00190617
0.46 0.32091 -0.000152633 0.00201906
0.47 0.341505 -0.000173905 0.00214932
0.48 0.362636 -0.000196451 0.00229912
0.49 0.384999 -0.000222719 0.00246883
0.5 0.407855 -0.000250294 0.0026571
0.51 0.43166 -0.000280999 0.00286115
0.52 0.45653 -0.000315625 0.00307744
0.53 0.481831 -0.000351623 0.00330243
0.54 0.508472 -0.000393313 0.00353334
0.55 0.535739 -0.000437647 0.00376881
0.56 0.563817 -0.000485534 0.00400926
0.57 0.593211 -0.000540116 0.00425694
0.58 0.622963 -0.000595995 0.00451568
0.59 0.654067 -0.000659262 0.00479027
0.6 0.686013 -0.000727014 0.00508573
0.61 0.718572 -0.000797695 0.00540656
0.62 0.75267 -0.00087811 0.00575597
0.63 0.787127 -0.000959803 0.0061355
0.64 0.822829 -0.00104985 0.00654486
0.65 0.859662 -0.00114761 0.0069821
0.66 0.896891 -0.00124739 0.00744416
0.67 0.935801 -0.00136065 0.0079276
0.68 0.97518 -0.00147689 0.00842935
0.69 1.01558 -0.00160169 0.00894748
0.7 1.05743 -0.00173949 0.00948171
0.71 1.0995 -0.00187829 0.0100336
